aluno_id,prev_created_at,prev_matematica,prev_linguagens,prev_humanas,prev_natureza,next_matematica,next_linguagens,next_humanas,next_natureza,tests_count,trend_matematica,trend_linguagens,trend_humanas,trend_natureza,rolling_mean_matematica,rolling_mean_linguagens,rolling_mean_humanas,rolling_mean_natureza
3e34a61b-98e0-48c8-951e-c9cf83a78c41,2026-05-05 22:49:35.942606+00:00,,34.0,36.0,,28.0,32.0,31.0,27.0,3,-1.750000000000004,-0.6249999999999999,1.2499999999999973,-6.000000000000007,30.875,31.75,33.166666666666664,29.0
3e34a61b-98e0-48c8-951e-c9cf83a78c41,2026-06-03 22:59:38.103535+00:00,28.0,32.0,31.0,27.0,,33.0,34.0,,4,-1.8749999999999982,-0.17500000000000032,-0.14999999999999591,-2.500000000000005,29.0,30.666666666666668,32.333333333333336,26.5
41180d34-1434-4ee9-88f1-d12766ceb207,2026-04-02 18:02:12.826136+00:00,40.0,33.0,31.666666666666668,34.666666666666664,34.0,35.0,31.0,27.0,1,,,,,40.0,33.0,31.666666666666668,34.666666666666664
41180d34-1434-4ee9-88f1-d12766ceb207,2026-04-03 01:48:08.684510+00:00,34.0,35.0,31.0,27.0,38.0,32.0,40.0,30.0,2,-6.000000000000007,1.9999999999999958,-0.666666666666672,-7.666666666666667,37.0,34.0,31.333333333333336,30.833333333333332
41180d34-1434-4ee9-88f1-d12766ceb207,2026-04-12 13:10:34.531209+00:00,38.0,32.0,40.0,30.0,39.0,35.0,38.0,26.0,3,-1.000000000000003,-0.49999999999999334,4.166666666666658,-2.3333333333333397,37.333333333333336,33.333333333333336,34.22222222222222,30.555555555555554
41180d34-1434-4ee9-88f1-d12766ceb207,2026-04-24 21:28:45.202965+00:00,39.0,35.0,38.0,26.0,37.0,35.0,30.0,28.0,4,0.10000000000000041,0.3000000000000024,2.7999999999999976,-2.299999999999998,37.0,34.0,36.333333333333336,27.666666666666668
41180d34-1434-4ee9-88f1-d12766ceb207,2026-05-08 22:25:32.152815+00:00,37.0,35.0,30.0,28.0,37.0,34.0,35.0,29.0,5,-0.10000000000000282,0.39999999999999913,0.3666666666666671,-1.4333333333333351,38.0,34.0,36.0,28.0
41180d34-1434-4ee9-88f1-d12766ceb207,2026-05-12 21:57:39.914226+00:00,37.0,34.0,35.0,29.0,40.0,31.0,30.0,29.0,6,-0.14285714285714352,0.22857142857142723,0.33333333333333054,-0.8380952380952392,37.666666666666664,34.666666666666664,34.333333333333336,27.666666666666668
41180d34-1434-4ee9-88f1-d12766ceb207,2026-06-02 17:43:10.094539+00:00,40.0,31.0,30.0,29.0,40.0,37.0,33.0,27.0,7,0.17857142857142652,-0.17857142857142955,-0.25000000000000216,-0.5357142857142861,38.0,33.333333333333336,31.666666666666668,28.666666666666668
41180d34-1434-4ee9-88f1-d12766ceb207,2026-06-02 17:43:26.468734+00:00,40.0,37.0,33.0,27.0,,37.0,30.0,,8,0.2976190476190448,0.16666666666666496,-0.22222222222222263,-0.5317460317460322,39.0,34.0,32.666666666666664,28.333333333333332
4d3ee5f1-21e1-444d-94fd-d3d0832f0ea6,2026-04-02 18:02:35.862408+00:00,36.0,36.5,37.0,33.5,33.0,35.0,30.0,27.0,1,,,,,36.0,36.5,37.0,33.5
4e8115b5-3e5b-439c-867b-a876befcdea4,2026-05-09 19:15:15.305453+00:00,,28.0,33.0,,30.0,33.0,35.0,20.0,1,,,,,,28.0,33.0,
